model,split,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,roc_auc
LSTM Sequence Model,any_noise_test,0.8087842007817322,0.8257070751022539,0.8197007395120602,0.8226929446549497,0.8074218080059938,0.8078041463019071,0.8076002647031508,0.7891365409097338,0.795907553091754,0.7925075847513521,0.8257070751022539,0.8197007395120602,0.8226929446549497,0.8908093701083353
Logistic Regression,any_noise_test,0.7924856464251651,0.7965363648451004,0.8280807243071394,0.812002304225543,0.7919056733363057,0.7892900258718267,0.7902248582897331,0.787274981827511,0.750499327436514,0.7684474123539232,0.7965363648451004,0.8280807243071394,0.812002304225543,0.872506778794584
Linear SVM,any_noise_test,0.791961998092424,0.7946021035919826,0.8301886792452831,0.8120056783613872,0.7915645109344343,0.7885301200000923,0.7895699314980476,0.788526918276886,0.7468715607549016,0.767134184634708,0.7946021035919826,0.8301886792452831,0.8120056783613872,0.8720677416557494
MLP Neural Baseline,any_noise_test,0.7529127938508724,0.7654356412247241,0.7835544958186468,0.7743890985468145,0.7513965358086049,0.7501618727004211,0.750653345081679,0.7373574303924857,0.7167692495821955,0.7269175916165437,0.7654356412247241,0.7835544958186468,0.7743890985468145,0.8327232895715546
LSTM Sequence Model,full_test,0.81745,0.826351229792593,0.8038125,0.8149260540622743,0.8176863350053228,0.81745,0.8174160427788772,0.8090214402180527,0.8310875,0.8199060314954804,0.826351229792593,0.8038125,0.8149260540622743,0.899442580078125
Logistic Regression,full_test,0.80088125,0.7925544198257107,0.8151125,0.803675197347745,0.8011251957085658,0.80088125,0.8008409146138431,0.8096959715914208,0.78665,0.7980066318799414,0.7925544198257107,0.8151125,0.803675197347745,0.8810788073437499
Linear SVM,full_test,0.80041875,0.7903473270915131,0.8177625,0.8038212256181846,0.8007806560999813,0.80041875,0.8003586967652061,0.8112139851084493,0.783075,0.7968961679122277,0.7903473270915131,0.8177625,0.8038212256181846,0.88077139515625
MLP Neural Baseline,full_test,0.75958125,0.7640872385070261,0.75105,0.7575125287609922,0.7596568436128813,0.75958125,0.7595637505144162,0.7552264487187366,0.7681125,0.76161497226784,0.7640872385070261,0.75105,0.7575125287609922,0.84073092390625
LSTM Sequence Model,high_noise_test,0.7964000580635796,0.8173211781206171,0.828989483310471,0.8231139808812773,0.7924393336221482,0.7909681192463478,0.7916479523802482,0.7675574891236793,0.7529467551822246,0.760181923879219,0.8173211781206171,0.828989483310471,0.8231139808812773,0.8775784213244222
Logistic Regression,high_noise_test,0.7774132675279432,0.7893469466384126,0.8326982675405172,0.8104432961653522,0.7743240836547081,0.7681984766777237,0.7704433194956775,0.7593012206710036,0.7036986858149302,0.7304433428260029,0.7893469466384126,0.8326982675405172,0.8104432961653522,0.8583346991420848
Linear SVM,high_noise_test,0.7774132675279432,0.7881534772182254,0.8348828938678047,0.810845483926677,0.7745474999184176,0.7678343476248657,0.7702356629352325,0.7609415226186098,0.7007858013819266,0.7296258419437881,0.7881534772182254,0.8348828938678047,0.810845483926677,0.8579706234344092
MLP Neural Baseline,high_noise_test,0.746058934533314,0.7621536101256112,0.8076512726718488,0.7842431119113983,0.7417524509007389,0.7357928494506785,0.7378480366075739,0.7213512916758666,0.6639344262295082,0.6914529613037497,0.7621536101256112,0.8076512726718488,0.7842431119113983,0.8201565621908496
